timestamp_utc,municipio,municipio_api,departamento,pais,lat,lon,temp,sensacion,temp_min,temp_max,humedad,presion,presion_nivel_mar,presion_suelo,viento,viento_direccion,viento_racha,nubosidad,visibilidad,lluvia_1h,lluvia_3h,nieve_1h,nieve_3h,amanecer_utc,atardecer_utc,timezone_seg,clima_id,clima_principal,descripcion,icono,dt_utc,base,cod
2026-06-27T15:43:46+00:00,Chiscas,Chiscas,Boyacá,CO,6.5535,-72.5004,19.25,18.69,19.25,19.25,56,1016,1016,714,2.77,275,2.77,37,10000,,,,,2026-06-27T10:37:58+00:00,2026-06-27T23:07:57+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:46+00:00,stations,200
2026-06-27T15:43:46+00:00,El Cocuy,El Cocuy,Boyacá,CO,6.4077,-72.4458,19,18.47,19,19,58,1017,1017,690,2.47,213,3.23,52,10000,,,,,2026-06-27T10:38:00+00:00,2026-06-27T23:07:29+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:46+00:00,stations,200
2026-06-27T15:43:47+00:00,El Espino,El Espino,Boyacá,CO,6.4826,-72.4952,22.5,22.19,22.5,22.5,53,1016,1016,721,3.09,252,2.92,36,10000,,,,,2026-06-27T10:38:04+00:00,2026-06-27T23:07:49+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:47+00:00,stations,200
2026-06-27T15:43:47+00:00,Guacamayas,El Espino,Boyacá,CO,6.4599,-72.5012,23.04,22.76,23.04,23.04,52,1016,1016,722,2.97,239,3.16,38,10000,,,,,2026-06-27T10:38:08+00:00,2026-06-27T23:07:48+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:47+00:00,stations,200
2026-06-27T15:43:47+00:00,Guican,Güicán,Boyacá,CO,6.4617,-72.412,15.63,14.89,15.63,15.63,63,1018,1018,669,1.88,233,2.71,55,10000,,,,,2026-06-27T10:37:46+00:00,2026-06-27T23:07:27+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:47+00:00,stations,200
2026-06-27T15:43:47+00:00,Panqueba,El Cocuy,Boyacá,CO,6.4427,-72.459,23.31,23.13,23.31,23.31,55,1016,1016,705,2.81,236,3.09,44,10000,,,,,2026-06-27T10:37:59+00:00,2026-06-27T23:07:36+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:47+00:00,stations,200
2026-06-27T15:43:48+00:00,Labranzagrande,Labranzagrande,Boyacá,CO,5.5629,-72.578,21.33,21.53,21.33,21.33,77,1020,1020,811,0.65,351,1.39,92,10000,,,,,2026-06-27T10:40:00+00:00,2026-06-27T23:06:32+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:48+00:00,stations,200
2026-06-27T15:43:48+00:00,Pajarito,Pajarito,Boyacá,CO,5.2932,-72.7028,22.01,22.33,22.01,22.01,79,1018,1018,859,1.12,101,1.27,89,10000,,,,,2026-06-27T10:40:59+00:00,2026-06-27T23:06:34+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:48+00:00,stations,200
2026-06-27T15:43:48+00:00,Paya,Departamento de Boyacá,Boyacá,CO,5.625,-72.4234,24.56,24.82,24.56,24.56,67,1018,1018,858,0.26,238,1.43,92,10000,,,,,2026-06-27T10:39:17+00:00,2026-06-27T23:06:01+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:48+00:00,stations,200
2026-06-27T15:43:49+00:00,Pisba,Labranzagrande,Boyacá,CO,5.7198,-72.4859,19.36,19.07,19.36,19.36,66,1019,1019,793,0.85,154,1.52,96,10000,,,,,2026-06-27T10:39:22+00:00,2026-06-27T23:06:26+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:49+00:00,stations,200
2026-06-27T15:43:49+00:00,Berbeo,Miraflores,Boyacá,CO,5.2261,-73.1265,21.92,21.86,21.92,21.92,65,1018,1018,788,2.51,154,3.01,83,10000,,,,,2026-06-27T10:42:47+00:00,2026-06-27T23:08:08+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:49+00:00,stations,200
2026-06-27T15:43:49+00:00,Campohermoso,Páez,Boyacá,CO,5.0315,-73.1044,19.55,19.39,19.55,19.55,70,1018,1018,849,2.15,160,1.84,97,10000,,,,,2026-06-27T10:43:02+00:00,2026-06-27T23:07:43+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:49+00:00,stations,200
2026-06-27T15:43:49+00:00,Miraflores,Miraflores,Boyacá,CO,5.1955,-73.144,24.28,24.49,24.28,24.28,66,1018,1018,792,2.47,152,2.9,88,10000,,,,,2026-06-27T10:42:55+00:00,2026-06-27T23:08:09+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:49+00:00,stations,200
2026-06-27T15:43:50+00:00,Paez,Páez,Boyacá,CO,5.102,-73.0522,26.37,26.37,26.37,26.37,66,1017,1017,843,2.19,160,1.99,90,10000,,,,,2026-06-27T10:42:43+00:00,2026-06-27T23:07:37+00:00,-18000,804,Clouds,nubes,04d,2026-06-27T15:43:50+00:00,stations,200
2026-06-27T15:43:50+00:00,San Eduardo,Miraflores,Boyacá,CO,5.2235,-73.0772,24.17,24.34,24.17,24.17,65,1018,1018,803,2.36,153,2.66,84,10000,,,,,2026-06-27T10:42:36+00:00,2026-06-27T23:07:56+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:50+00:00,stations,200
2026-06-27T15:43:50+00:00,Zetaquira,Zetaquira,Boyacá,CO,5.2819,-73.1678,24.21,24.41,24.21,24.21,66,1018,1018,774,2.68,156,3.41,82,10000,,,,,2026-06-27T10:42:51+00:00,2026-06-27T23:08:24+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:50+00:00,stations,200
2026-06-27T15:43:50+00:00,Boyaca,Ramiriquí,Boyacá,CO,5.4545,-73.3615,15.6,14.97,15.6,15.6,67,1017,1017,736,3.15,156,6.21,61,10000,,,,,2026-06-27T10:43:20+00:00,2026-06-27T23:09:29+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:50+00:00,stations,200
2026-06-27T15:43:51+00:00,Cienega,Ciénega,Boyacá,CO,5.4098,-73.2955,18.91,18.61,18.91,18.91,67,1018,1018,741,3.08,161,5.34,67,10000,,,,,2026-06-27T10:43:09+00:00,2026-06-27T23:09:08+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:51+00:00,stations,200
2026-06-27T15:43:51+00:00,Jenesano,Jenesano,Boyacá,CO,5.3854,-73.3644,20.25,20.11,20.25,20.25,68,1018,1018,745,2.93,153,5.36,71,10000,,,,,2026-06-27T10:43:28+00:00,2026-06-27T23:09:22+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:51+00:00,stations,200
2026-06-27T15:43:51+00:00,Nuevo Colon,Turmequé,Boyacá,CO,5.355,-73.4572,17.66,17.31,17.66,17.66,70,1018,1018,741,3.15,139,5.84,70,10000,,,,,2026-06-27T10:43:53+00:00,2026-06-27T23:09:41+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:51+00:00,stations,200
2026-06-27T15:43:52+00:00,Ramiriqui,Ramiriquí,Boyacá,CO,5.4005,-73.3359,17.91,17.53,17.91,17.91,68,1018,1018,741,3.01,154,5.68,67,10000,,,,,2026-06-27T10:43:19+00:00,2026-06-27T23:09:17+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:52+00:00,stations,200
2026-06-27T15:43:52+00:00,Rondon,Zetaquira,Boyacá,CO,5.3582,-73.2083,15.37,14.69,15.37,15.37,66,1018,1018,745,3.12,163,4.7,71,10000,,,,,2026-06-27T10:42:53+00:00,2026-06-27T23:08:42+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:43:52+00:00,stations,200
